id;fecha;valor;fecha_pago
1;2020-04-18T22:11:33;66735;2020-04-18T02:49:00
2;2020-04-18T04:07:26;25896;2020-04-18T16:13:22
3;2020-04-18T09:51:45;17222;2020-04-18T13:05:34
4;2020-04-18T09:36:53;97186;2020-04-18T14:07:48
5;2020-04-18T04:20:31;26606;2020-04-18T11:50:29
6;2020-04-18T14:43:47;87056;2020-04-18T14:48:04
7;2020-04-18T14:26:43;23235;2020-04-18T04:02:03
8;2020-04-18T19:10:48;11237;2020-04-18T09:46:03
9;2020-04-18T06:48:28;67822;2020-04-18T03:58:26
10;2020-04-18T19:25:59;99908;2020-04-18T00:14:47
